linea;desde;hasta;estacion;pasajeros
E;06:00;06:14;San Jose;2
C;06:00;06:14;Avenida de Mayo;7
D;06:00;06:14;Olleros;8
C;06:00;06:14;Lavalle;12
B;06:00;06:14;Tronador;8
C;06:00;06:14;Diagonal Norte;1
A;06:00;06:14;San Pedrito;37
B;06:00;06:14;Callao;12
A;06:00;06:14;Congreso;5
B;06:00;06:14;Carlos Pellegrini;25
D;06:00;06:14;Ministro Carranza;12
D;06:00;06:14;Tribunales;1
B;06:00;06:14;Pueyrredon;19
C;06:00;06:14;Mariano Moreno;4
B;06:00;06:14;Carlos Gardel;8
C;06:00;06:14;Constitucion;640
H;06:00;06:14;Inclan;4
D;06:00;06:14;Jose Hernandez;6
A;06:00;06:14;Loria;5
A;06:00;06:14;Piedras;4
H;06:00;06:14;Patricios;7
B;06:00;06:14;Pasteur;6
C;06:00;06:14;San Juan;8
D;06:00;06:14;Palermo;6
B;06:00;06:14;Echeverria;2
B;06:00;06:14;Dorrego;6
E;06:00;06:14;Entre Rios;20
E;06:00;06:14;General Belgrano;10
C;06:00;06:14;Independencia;7
B;06:00;06:14;Medrano;11
A;06:00;06:14;Plaza Miserere;27
A;06:00;06:14;Lima;6
B;06:00;06:14;Rosas;47
A;06:00;06:14;Plaza de Mayo;18
A;06:00;06:14;Alberti;4
E;06:00;06:14;Pichincha;4
E;06:00;06:14;Avenida La Plata;11
H;06:00;06:14;Once;8
A;06:00;06:14;Carabobo;9
E;06:15;06:29;Avenida La Plata;5
A;06:15;06:29;Flores;13
E;06:15;06:29;Emilio Mitre;8
E;06:15;06:29;Jujuy;11
A;06:15;06:29;Loria;9
A;06:15;06:29;Peru;5
B;06:15;06:29;Angel Gallardo;17
D;06:15;06:29;Jose Hernandez;10
B;06:15;06:29;Florida;5
B;06:15;06:29;Dorrego;25
B;06:15;06:29;Carlos Gardel;15
B;06:15;06:29;Echeverria;13
E;06:15;06:29;Urquiza;3
D;06:15;06:29;Ministro Carranza;3
H;06:15;06:29;Corrientes;2
C;06:15;06:29;Retiro;128
C;06:15;06:29;Lavalle;10
H;06:15;06:29;Once;18
E;06:15;06:29;General Belgrano;7
E;06:15;06:29;Entre Rios;16
E;06:15;06:29;Pza. de los Virreyes;79
D;06:15;06:29;Callao.;15
A;06:15;06:29;Plaza de Mayo;9
E;06:15;06:29;Jose Maria Moreno;10
A;06:15;06:29;Rio de Janeiro;9
B;06:15;06:29;Los Incas;30
E;06:15;06:29;Pichincha;7
C;06:15;06:29;Independencia;10
B;06:15;06:29;Carlos Pellegrini;36
C;06:15;06:29;Avenida de Mayo;10
A;06:15;06:29;Alberti;4
C;06:15;06:29;General San Martin;8
E;06:15;06:29;San Jose;6
B;06:15;06:29;Tronador;15
D;06:15;06:29;Palermo;16
A;06:15;06:29;San Pedrito;45
C;06:15;06:29;Diagonal Norte;2
B;06:15;06:29;Pasteur;5
D;06:15;06:29;9 de julio;8
D;06:15;06:29;Pueyrredon.;10
B;06:15;06:29;Rosas;61
D;06:15;06:29;Scalabrini Ortiz;10
D;06:15;06:29;Catedral;29
D;06:15;06:29;Aguero;9
E;06:15;06:29;Boedo;10
H;06:15;06:29;Hospitales;13
A;06:15;06:29;Castro Barros;15
A;06:15;06:29;Congreso;5
B;06:15;06:29;Leandro N. Alem;75
B;06:15;06:29;Pueyrredon;13
E;06:15;06:29;Varela;6
H;06:15;06:29;Patricios;11
A;06:15;06:29;Puan;9
D;06:15;06:29;Congreso de Tucuman;48
B;06:15;06:29;Federico Lacroze;128
A;06:15;06:29;Lima;5
D;06:15;06:29;Bulnes;15
A;06:15;06:29;Carabobo;21
E;06:15;06:29;Independencia.;9
B;06:15;06:29;Malabia;19
B;06:15;06:29;Medrano;11
H;06:15;06:29;Inclan;6
H;06:15;06:29;Humberto I;2
H;06:15;06:29;Caseros;16
C;06:15;06:29;Constitucion;1059
A;06:15;06:29;Primera Junta;21
A;06:15;06:29;Plaza Miserere;42
D;06:15;06:29;Tribunales;1
A;06:15;06:29;Acoyte;16
D;06:15;06:29;Olleros;4
C;06:15;06:29;Mariano Moreno;9
B;06:15;06:29;Uruguay;5
D;06:15;06:29;Juramento;18
H;06:15;06:29;Venezuela;5
A;06:15;06:29;Piedras;10
A;06:15;06:29;Pasco;4
D;06:15;06:29;Plaza Italia;13
A;06:15;06:29;Saenz Peña;4
E;06:15;06:29;Medalla Milagrosa;3
C;06:15;06:29;San Juan;11
D;06:15;06:29;Facultad de Medicina;8
E;06:15;06:29;Bolivar;14
B;06:15;06:29;Callao;31
B;06:30;06:44;Los Incas;29
E;06:30;06:44;Entre Rios;22
A;06:30;06:44;Loria;5
D;06:30;06:44;Tribunales;5
B;06:30;06:44;Medrano;17
